,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ICAM2,1.05653606154358e-97,0.250791769825608,0.351,0.264,3.63976673201764e-93
SUPT5H,1.47807416614409e-95,-0.68866721916979,0.211,0.269,5.09196550236641e-91
CAMLG,3.70639905871042e-95,-0.500111353953504,0.376,0.427,1.27685447572574e-90
CD63,1.95626555117515e-94,0.273464139690963,0.455,0.369,6.73933482379841e-90
LSM2,3.39953840195916e-94,0.312854896129295,0.285,0.209,1.17114097947493e-89
TTC1,9.56600802323277e-94,-0.66073357505802,0.269,0.325,3.29548976400369e-89
ANXA2R,1.40858861674655e-93,0.326076897360182,0.289,0.214,4.85258778469187e-89
CHCHD7,1.185133729826e-92,0.315367900062295,0.254,0.181,4.08278569925057e-88
PTGES3,2.81611745021047e-92,-0.323096240345514,0.689,0.689,9.70152461597508e-88
IDI1,5.45974953953088e-92,-0.595686278613469,0.214,0.274,1.88088371636839e-87
NDUFV1,2.23542707344142e-91,0.380759290900788,0.254,0.184,7.70104626800568e-87
ETFB,4.55401480833866e-91,0.278800042041195,0.295,0.218,1.56885810147267e-86
CCR7,2.59685291395338e-90,0.455754028111167,0.343,0.278,8.9461582885694e-86
SURF1,4.52197192155603e-90,0.35561977462093,0.255,0.184,1.55781932697605e-85
ZNF24,1.69312926267803e-89,0.274532945006277,0.26,0.186,5.83283030992581e-85
PAK2,2.74062958761002e-89,-0.53040974011953,0.439,0.477,9.4414689293165e-85
C1orf162,2.82331891693314e-89,0.354438458789176,0.341,0.267,9.72633366883467e-85
POLR2K,9.04410663363824e-89,0.265320840652802,0.338,0.259,3.11569473528837e-84
PTP4A2,1.64624005844472e-88,-0.321887542078389,0.566,0.607,5.67129700134207e-84
ERAP2,9.0109223994549e-88,-0.800067331968463,0.236,0.286,3.10426276661221e-83
SF1,4.28997957016238e-87,-0.292158147605662,0.708,0.706,1.47789796192094e-82
DNAJC21,4.36719646761644e-87,-0.660330016653919,0.195,0.25,1.50449918309386e-82
SLIRP,3.28340326476288e-86,-0.595567648377978,0.309,0.359,1.13113242471081e-81
DDOST,4.33423647880194e-86,0.291178795119305,0.329,0.253,1.49314446694727e-81
RNF114,1.07137168849764e-85,-0.62613933185702,0.204,0.26,3.69087546687436e-81
TACC1,5.35327294834283e-85,-0.69498854008194,0.201,0.255,1.84420253070411e-80
NFKBIA,9.89934014839679e-85,0.470160996295261,0.538,0.449,3.41032268112269e-80
VDAC1,1.30918236467554e-84,0.262915277075509,0.291,0.218,4.51013324630725e-80
PCF11,3.21946045669781e-84,-0.542307588453645,0.309,0.362,1.10910412733239e-79
CWF19L2,4.90762110689453e-84,-0.600574547218257,0.3,0.351,1.69067547132517e-79
NKTR,7.42192549708234e-84,-0.420383489565591,0.514,0.548,2.55685333374487e-79
NDUFS4,3.45941286159471e-83,-0.696044711172109,0.239,0.289,1.19176773081938e-78
SLC38A2,4.19819854174709e-82,-0.606860064752076,0.244,0.299,1.44627939763187e-77
AC004687.1,9.97129800737847e-82,0.343884667824121,0.281,0.211,3.43511216354188e-77
ZNF394,2.80963999200537e-81,-0.649556734392208,0.225,0.278,9.67920977245852e-77
SRRM2,5.50337158679062e-81,-0.331760016341367,0.582,0.607,1.89591151164937e-76
MRPL11,5.97841191318377e-81,0.319485652125796,0.26,0.192,2.05956290409181e-76
TRIM22,1.2158145129298e-78,-0.659211931397996,0.31,0.355,4.18848099704318e-74
ECHDC1,1.56642047023854e-78,-0.763734255181858,0.203,0.25,5.39631851997176e-74
UHMK1,6.77644629494982e-77,-0.630114258274057,0.252,0.301,2.33448574861021e-72
C18orf32,1.24352418680416e-76,-0.570886440214902,0.208,0.264,4.28394082354032e-72
PPP1CB,3.00000187235161e-76,-0.436367548277263,0.45,0.48,1.03350064502513e-71
HDDC2,1.0856061120749e-75,0.288582638470674,0.268,0.202,3.73991305609804e-71
RTN4,1.65158651255873e-75,-0.564159848137381,0.411,0.439,5.68971553576483e-71
EIF2AK2,2.3527932246654e-75,-0.710254185853256,0.214,0.264,8.10537265897232e-71
TM2D1,1.78198236759421e-74,-0.702311577203145,0.213,0.262,6.13892925636205e-70
CDKN2D,2.34866976249551e-74,0.279600476165154,0.324,0.255,8.09116733179702e-70
CLTA,2.83455757759733e-74,-0.571898309481714,0.332,0.375,9.7650508548228e-70
CFLAR,3.43505381161356e-73,-0.420833540871545,0.494,0.525,1.18337603810087e-68
MANF,3.97701644593497e-73,0.287305821372737,0.261,0.197,1.3700821656246e-68
PHF20L1,3.20419415176006e-71,-0.638623838374087,0.23,0.28,1.10384488528134e-66
BRD7,4.46178641529538e-71,-0.577377077877036,0.296,0.342,1.53708542006926e-66
AIF1,1.34954291963737e-70,0.393903830384227,0.258,0.199,4.64917535815074e-66
HSPA9,1.48120238094164e-68,-0.556017122524541,0.306,0.348,5.10274220234394e-64
MTPN,3.66876053718892e-68,-0.489899183060436,0.393,0.43,1.26388800506158e-63
XPC,8.41473128477146e-68,-0.572765405424162,0.228,0.277,2.89887492760377e-63
RPA3,2.86868569046304e-66,-0.678340587952559,0.246,0.29,9.88262220364518e-62
KLHDC2,3.35891231036409e-66,-0.631027385544274,0.228,0.274,1.15714529092043e-61
UBE2D2,7.95049417860188e-66,-0.352806731017292,0.693,0.664,2.73894524452835e-61
FAM102A,2.16172310862767e-65,-0.69281140831451,0.24,0.283,7.44713610922231e-61
DGKA,1.58118506492828e-64,-0.605715344439924,0.29,0.332,5.44718254867794e-60
RBMX,1.05017215639215e-63,-0.374658264084045,0.539,0.552,3.61784307877096e-59
MDM4,3.38826392121889e-63,-0.428163949767779,0.394,0.436,1.16725692085991e-58
RASSF1,4.38612520247893e-60,0.305837298717336,0.261,0.206,1.51102013225399e-55
NAE1,2.5010853317329e-59,-0.535256061216605,0.245,0.289,8.61623896781986e-55
ZNF800,2.86314386105697e-59,-0.593318423975157,0.257,0.299,9.86353060134126e-55
UBA2,7.64729644760136e-59,-0.58645758675337,0.296,0.333,2.63449362619867e-54
ERGIC2,4.72699189288584e-58,-0.579476561622715,0.253,0.294,1.62844870709917e-53
